ids,age,balance,day,duration,pdays,job,contact,education,marital,default,y
30194,30,574,5,11,-1,blue-collar,cellular,secondary,single,no,no
21955,39,-146,20,239,-1,housemaid,cellular,secondary,married,no,no
44418,35,415,4,462,92,unemployed,cellular,tertiary,single,no,yes
36,25,-7,5,365,-1,blue-collar,unknown,secondary,married,no,no
36054,34,0,11,547,-1,entrepreneur,cellular,primary,married,no,no
37830,36,779,14,172,-1,blue-collar,cellular,secondary,married,no,no
3346,23,76,15,23,-1,technician,unknown,secondary,single,no,no
39186,27,2752,18,165,-1,blue-collar,cellular,secondary,single,no,no
30783,32,-184,6,129,197,housemaid,cellular,primary,married,no,no
43280,27,948,12,121,207,management,cellular,tertiary,single,no,no
5732,40,193,26,258,-1,blue-collar,unknown,secondary,married,no,no
30356,34,0,5,71,-1,management,cellular,tertiary,single,no,no
4933,33,932,21,226,-1,blue-collar,unknown,secondary,married,no,no
31361,29,261,17,136,-1,admin.,cellular,tertiary,single,no,no
44058,19,526,1,174,199,student,cellular,secondary,single,no,no
2015,31,42,9,210,-1,blue-collar,unknown,secondary,married,no,no
21815,46,591,20,50,-1,technician,cellular,tertiary,married,no,no
15639,27,1372,21,230,-1,blue-collar,cellular,tertiary,single,no,no
43678,31,136,12,228,267,blue-collar,cellular,secondary,married,no,yes
1306,54,841,8,284,-1,services,unknown,secondary,married,no,no
36616,60,-134,12,243,271,retired,cellular,tertiary,divorced,no,no
10632,55,0,16,153,-1,technician,unknown,unknown,married,no,no
6656,45,-839,28,68,-1,services,unknown,secondary,married,no,no
37789,23,1105,14,377,-1,blue-collar,cellular,secondary,single,no,no
1975,48,231,9,752,-1,blue-collar,unknown,primary,married,no,no
22080,40,185,21,310,-1,management,cellular,tertiary,married,no,no
9607,45,246,6,119,-1,admin.,unknown,secondary,divorced,no,no
16163,60,-223,22,282,-1,blue-collar,cellular,secondary,married,no,no
12678,33,4385,4,92,-1,management,cellular,secondary,married,no,no
15944,25,38,22,278,-1,entrepreneur,cellular,tertiary,married,no,no
1782,39,183,9,324,-1,management,unknown,tertiary,married,no,no
42097,20,0,2,69,182,student,cellular,primary,single,no,no
26050,33,923,19,1307,173,management,cellular,tertiary,single,no,no
2863,51,482,14,178,-1,management,unknown,tertiary,divorced,no,no
6367,28,863,27,355,-1,unemployed,unknown,secondary,married,no,no
14705,50,219,15,419,-1,admin.,cellular,secondary,married,no,no
44758,28,1595,9,1,254,admin.,unknown,secondary,married,no,no
4328,34,164,19,102,-1,blue-collar,unknown,secondary,divorced,no,no
29707,41,-89,3,195,251,technician,cellular,tertiary,single,no,no
44278,28,2015,26,110,182,student,cellular,secondary,single,no,no
28838,54,1114,30,81,-1,technician,cellular,secondary,divorced,no,no
7375,34,10,29,310,-1,admin.,unknown,secondary,single,no,no
4114,59,457,19,63,-1,blue-collar,unknown,primary,divorced,no,no
332,30,-457,5,143,-1,blue-collar,unknown,secondary,single,no,no
12993,47,24,7,95,-1,services,cellular,secondary,married,no,no
40094,24,1957,4,113,-1,student,cellular,secondary,single,no,no
9935,37,4997,9,172,-1,blue-collar,unknown,primary,married,no,no
24296,49,1084,17,99,-1,services,telephone,secondary,married,no,no
5669,30,541,26,414,-1,technician,unknown,tertiary,married,no,yes
25001,55,5010,18,530,-1,management,cellular,tertiary,married,no,no
26901,36,14462,21,10,-1,management,cellular,tertiary,married,no,no
31705,53,53,7,208,140,blue-collar,cellular,primary,married,no,no
1967,29,15,9,432,-1,blue-collar,unknown,secondary,married,no,no
39450,32,31,25,101,-1,admin.,cellular,secondary,married,no,no
33709,34,0,21,95,-1,services,cellular,secondary,married,no,no
35307,53,913,7,213,288,blue-collar,cellular,secondary,married,no,no
33684,39,143,20,6,348,blue-collar,cellular,primary,married,no,no
27792,52,393,28,446,182,services,cellular,secondary,married,no,no
5747,47,191,26,212,-1,management,unknown,tertiary,single,no,no
16977,54,2079,25,217,-1,management,cellular,tertiary,divorced,no,no
21904,55,128,20,359,-1,admin.,cellular,secondary,married,no,no
36611,41,224,12,22,-1,admin.,cellular,secondary,single,no,no
40610,28,1240,4,849,-1,management,cellular,tertiary,married,no,yes
41087,32,551,14,99,-1,blue-collar,cellular,secondary,single,no,no
13340,55,859,8,153,-1,admin.,telephone,secondary,married,no,no
4831,28,135,21,195,-1,entrepreneur,unknown,tertiary,single,no,no
38886,32,396,18,88,364,admin.,cellular,secondary,single,no,no
28771,31,1384,30,203,2,management,cellular,tertiary,married,no,no
6341,51,-1042,27,272,-1,technician,unknown,secondary,married,no,no
29521,26,23494,3,136,-1,unemployed,cellular,tertiary,single,no,no
5622,33,471,23,215,-1,management,unknown,tertiary,divorced,no,no
33761,34,0,22,176,-1,management,cellular,tertiary,married,no,no
40058,37,1045,4,106,79,services,cellular,secondary,single,no,no
1977,38,138,9,182,-1,self-employed,unknown,secondary,married,no,no
35208,40,322,7,201,-1,blue-collar,cellular,secondary,single,no,no
35071,35,343,6,151,-1,blue-collar,cellular,secondary,single,no,no
35878,37,3429,8,151,171,services,cellular,secondary,married,no,no
18349,58,53,31,102,-1,retired,cellular,secondary,married,no,no
15372,50,1498,18,223,-1,blue-collar,cellular,secondary,married,no,no
2160,46,-29,12,322,-1,blue-collar,unknown,primary,married,no,no
18180,47,337,30,300,-1,management,telephone,tertiary,married,no,no
28850,45,44,30,250,2,entrepreneur,cellular,secondary,divorced,no,no
1367,28,120,8,130,-1,self-employed,unknown,tertiary,married,no,no
19722,40,162,7,256,-1,technician,cellular,tertiary,married,no,no
32519,43,664,17,119,-1,admin.,cellular,tertiary,single,no,no
17217,54,38,28,115,-1,blue-collar,cellular,primary,married,no,no
44883,36,980,24,349,53,self-employed,cellular,tertiary,married,no,no
41036,74,6027,14,233,-1,retired,cellular,tertiary,married,no,no
6311,39,1135,27,35,-1,blue-collar,unknown,primary,married,no,no
21579,32,644,19,100,-1,management,cellular,tertiary,married,no,no
12023,40,142,20,14,-1,admin.,unknown,secondary,single,no,no
13435,54,-22,9,85,-1,services,cellular,secondary,married,no,no
42028,27,390,28,190,82,management,cellular,tertiary,single,no,no
41629,49,1791,25,139,-1,self-employed,cellular,tertiary,married,no,no
36934,40,2495,12,135,354,blue-collar,cellular,primary,married,no,no
18908,46,809,4,160,-1,blue-collar,cellular,primary,married,no,no
29990,46,954,4,532,-1,entrepreneur,cellular,tertiary,married,no,no
29878,39,33,4,211,-1,blue-collar,cellular,primary,married,no,no
4862,35,6659,21,83,-1,management,unknown,tertiary,single,no,no
885,29,8,7,233,-1,unemployed,unknown,tertiary,married,no,no
44015,22,10971,28,181,-1,student,cellular,secondary,single,no,no
18097,40,4,30,63,-1,admin.,cellular,secondary,divorced,no,no
36787,35,68,12,334,347,blue-collar,cellular,secondary,single,no,no
31057,72,0,13,99,-1,retired,cellular,tertiary,married,no,yes
772,42,0,7,275,-1,technician,unknown,secondary,single,no,no
15953,40,121,22,80,-1,entrepreneur,cellular,tertiary,married,no,no
36307,49,0,11,52,-1,blue-collar,telephone,secondary,married,no,no
42371,46,38,25,541,-1,housemaid,cellular,secondary,married,no,yes
23120,52,517,26,77,-1,self-employed,cellular,secondary,married,no,no
12834,40,492,7,125,-1,management,cellular,tertiary,divorced,no,no
14810,60,686,16,122,-1,admin.,cellular,primary,married,no,no
12114,37,-456,20,42,-1,entrepreneur,unknown,tertiary,married,yes,no
20969,37,2686,14,144,-1,technician,cellular,secondary,divorced,no,no
35220,34,49,7,393,351,technician,cellular,secondary,single,no,no
25897,50,4012,19,690,-1,self-employed,cellular,tertiary,married,no,no
2740,42,243,14,46,-1,admin.,unknown,secondary,single,no,no
12327,28,702,26,318,-1,blue-collar,unknown,primary,married,no,no
3211,47,107,15,246,-1,management,unknown,tertiary,divorced,no,no
24406,45,1171,17,34,-1,technician,cellular,secondary,single,no,no
12813,39,2319,7,84,-1,admin.,cellular,secondary,married,no,no
14419,54,308,14,248,-1,retired,cellular,primary,divorced,no,no
30235,30,144,5,259,260,blue-collar,cellular,secondary,single,no,no
13358,52,4873,8,99,-1,management,cellular,secondary,married,no,no
26718,36,3649,20,399,156,blue-collar,cellular,tertiary,single,no,no
4680,38,273,20,314,-1,technician,unknown,secondary,divorced,no,no
42047,61,272,29,318,269,blue-collar,cellular,secondary,married,no,no
23428,39,0,27,63,-1,management,cellular,secondary,married,no,no
42995,76,3324,11,309,90,retired,cellular,primary,married,no,yes
36294,41,81,11,193,-1,housemaid,cellular,secondary,married,no,no
28257,30,783,29,197,-1,blue-collar,cellular,secondary,single,no,no
4618,33,148,20,717,-1,management,unknown,tertiary,married,no,no
36575,40,1808,12,560,-1,blue-collar,cellular,secondary,married,no,yes
40777,31,10884,10,294,98,management,cellular,tertiary,married,no,yes
31815,32,1951,8,518,261,technician,cellular,secondary,married,no,no
3623,49,247,15,213,-1,retired,unknown,unknown,married,no,no
11962,51,3984,20,7,-1,housemaid,unknown,secondary,married,no,no
43124,38,711,24,254,140,blue-collar,cellular,secondary,single,no,no
2200,54,104,12,391,-1,entrepreneur,unknown,secondary,divorced,no,no
15434,32,188,18,144,-1,blue-collar,cellular,secondary,single,no,no
41253,39,116,24,79,94,technician,cellular,secondary,married,no,no
12679,30,137,4,407,-1,services,cellular,secondary,married,no,no
29983,37,1032,4,63,-1,unemployed,telephone,tertiary,single,no,no
25264,38,4644,18,55,-1,services,telephone,unknown,married,no,no
6382,23,13,27,280,-1,blue-collar,unknown,secondary,single,no,no
42226,39,1509,11,248,-1,management,cellular,tertiary,single,no,no
35335,53,1066,7,57,170,self-employed,cellular,secondary,married,no,no
41658,26,132,1,194,119,student,cellular,secondary,single,no,yes
30423,28,440,5,177,-1,technician,cellular,secondary,single,no,no
3385,42,8,15,299,-1,services,unknown,unknown,married,no,no
22889,35,31,25,390,-1,technician,cellular,secondary,married,no,no
44538,25,1003,12,361,-1,student,cellular,unknown,single,no,yes
14417,43,778,14,619,-1,services,cellular,secondary,married,no,no
20803,42,849,13,403,-1,technician,cellular,tertiary,married,no,no
40027,41,15787,3,175,-1,management,cellular,tertiary,married,no,no
22684,33,9,25,145,-1,technician,cellular,secondary,single,no,no
5713,53,1925,26,153,-1,management,unknown,secondary,married,no,no
25565,58,60,19,291,-1,management,cellular,secondary,married,no,no
12724,47,3531,7,49,-1,admin.,cellular,secondary,single,no,no
18283,27,0,31,13,-1,technician,cellular,secondary,single,no,no
6873,29,1336,28,298,-1,services,unknown,secondary,divorced,no,no
16805,45,1103,24,828,-1,blue-collar,cellular,secondary,married,no,no
39939,49,5887,2,181,293,management,cellular,tertiary,married,no,yes
28278,33,603,29,265,-1,management,cellular,tertiary,married,no,no
16595,51,603,24,853,-1,blue-collar,cellular,primary,married,no,yes
6066,43,278,26,14,-1,services,unknown,secondary,married,no,no
31045,46,2732,11,184,-1,management,telephone,tertiary,married,no,no
6700,28,448,28,307,-1,blue-collar,unknown,unknown,single,no,no
28510,45,125,29,304,-1,self-employed,cellular,tertiary,married,no,no
42365,37,4842,25,170,-1,management,cellular,tertiary,married,no,no
8630,45,-547,3,214,-1,admin.,unknown,secondary,married,no,no
11744,57,9689,20,313,-1,technician,unknown,secondary,married,no,no
42096,57,1832,2,131,-1,management,cellular,tertiary,married,no,no
43417,50,82,5,456,-1,blue-collar,telephone,primary,married,no,yes
33435,43,1892,20,378,-1,blue-collar,cellular,primary,married,no,no
6588,49,181,28,230,-1,technician,unknown,secondary,divorced,no,no
42356,33,334,25,87,-1,management,cellular,tertiary,married,no,no
18772,36,1594,31,544,-1,management,cellular,tertiary,married,no,no
44982,46,171,11,251,430,admin.,cellular,secondary,married,no,no
23035,32,5167,26,10,-1,management,cellular,tertiary,single,no,no
39104,33,235,18,525,-1,admin.,cellular,tertiary,single,no,yes
31595,48,4459,3,439,240,admin.,cellular,primary,married,no,no
6156,33,-1040,27,130,-1,technician,unknown,secondary,married,no,no
4515,56,8741,20,318,-1,entrepreneur,unknown,tertiary,married,no,no
40570,27,2489,15,323,163,management,cellular,tertiary,single,no,yes
14529,42,-145,15,231,-1,blue-collar,cellular,secondary,married,no,no
21873,41,75,20,351,-1,technician,cellular,secondary,divorced,no,no
8067,29,493,2,132,-1,technician,unknown,secondary,married,no,no
6911,28,3331,28,229,-1,services,unknown,secondary,single,no,no
29660,32,272,3,188,209,management,cellular,tertiary,married,no,no
44863,33,224,23,409,92,management,cellular,tertiary,single,no,yes
27714,28,290,27,24,-1,student,telephone,tertiary,single,no,no
23772,34,603,28,787,-1,management,cellular,tertiary,single,no,no
17091,25,-23,25,936,-1,blue-collar,cellular,secondary,married,no,no
17168,37,0,28,62,-1,management,telephone,tertiary,married,no,no
4011,27,0,16,89,-1,management,unknown,tertiary,single,yes,no
20044,52,432,8,424,-1,services,cellular,primary,married,no,no
24184,44,1631,17,81,195,entrepreneur,cellular,tertiary,married,no,no
3386,47,39,15,160,-1,blue-collar,unknown,secondary,married,no,no
648,41,65,6,524,-1,management,unknown,tertiary,married,no,no
23051,35,6,26,130,-1,admin.,cellular,tertiary,married,no,no
9778,41,16431,9,139,-1,blue-collar,unknown,primary,married,no,no
14600,53,4143,15,200,-1,blue-collar,cellular,primary,married,no,no
31104,57,403,17,63,-1,blue-collar,telephone,primary,married,no,no
40469,40,35,3,318,317,services,cellular,tertiary,married,no,no
12274,50,1318,24,146,-1,admin.,unknown,secondary,single,no,no
26023,46,15,19,314,-1,services,cellular,secondary,divorced,no,no
9537,43,1260,6,17,-1,blue-collar,unknown,primary,divorced,no,no
4957,32,1067,21,39,-1,blue-collar,unknown,secondary,single,no,no
40603,58,4605,4,197,-1,housemaid,cellular,primary,married,no,no
32097,52,2904,15,201,272,services,cellular,secondary,married,no,no
40158,38,1187,5,76,123,management,cellular,tertiary,married,no,no
3567,24,758,15,129,-1,blue-collar,unknown,primary,single,no,no
19559,57,7747,7,102,-1,self-employed,cellular,secondary,married,no,no
33336,56,159,20,132,-1,services,cellular,secondary,married,no,no
36662,30,8563,12,109,351,self-employed,cellular,secondary,married,no,no
33051,32,94,17,1013,-1,technician,cellular,secondary,married,no,no
19723,41,768,7,229,-1,management,cellular,tertiary,married,no,no
30016,44,272,4,219,205,blue-collar,cellular,secondary,divorced,no,no
32267,33,322,16,77,-1,management,cellular,tertiary,married,no,no
28285,34,276,29,216,-1,management,cellular,tertiary,married,no,no
8081,51,6,2,193,-1,management,unknown,tertiary,divorced,no,no
24211,43,1648,17,80,-1,technician,cellular,secondary,divorced,no,no
26843,35,5639,20,945,-1,blue-collar,cellular,secondary,married,no,yes
3521,49,3061,15,155,-1,services,unknown,secondary,single,no,no
16232,57,1741,23,364,-1,technician,cellular,secondary,married,no,no
35160,53,0,7,263,-1,blue-collar,cellular,primary,married,no,no
6879,26,407,28,346,-1,blue-collar,unknown,unknown,married,no,no
26615,59,1083,20,125,-1,management,cellular,secondary,married,no,no
32447,66,525,16,287,-1,retired,telephone,tertiary,married,no,no
6798,39,638,28,83,-1,blue-collar,unknown,unknown,married,no,no
3877,32,29,16,132,-1,blue-collar,unknown,secondary,single,no,no
41571,47,1013,15,170,92,technician,cellular,secondary,divorced,no,yes
5011,28,858,21,371,-1,unemployed,unknown,secondary,married,no,no
35910,46,355,8,122,338,services,cellular,secondary,divorced,no,no
6456,27,0,27,185,-1,unemployed,unknown,secondary,single,no,no
13759,30,167,10,255,-1,blue-collar,cellular,secondary,married,no,yes
25387,30,1131,18,189,144,blue-collar,cellular,secondary,married,no,no
24416,43,-36,17,190,104,technician,cellular,secondary,divorced,no,no
19734,56,0,7,152,-1,blue-collar,cellular,primary,married,no,no
36400,55,154,11,70,367,management,telephone,tertiary,married,no,no
33384,31,631,20,211,152,blue-collar,cellular,secondary,married,no,no
41012,57,1198,13,146,-1,housemaid,cellular,primary,divorced,no,no
29152,38,661,2,366,-1,management,cellular,tertiary,married,no,no
34964,47,-216,6,197,282,blue-collar,cellular,secondary,married,no,no
25251,58,5037,18,1437,-1,management,cellular,tertiary,divorced,no,yes
27008,45,2519,21,470,-1,admin.,cellular,secondary,divorced,no,no
24268,44,1034,17,73,-1,management,cellular,tertiary,married,no,no
40623,62,3340,4,259,35,retired,cellular,secondary,married,no,no
6670,30,0,28,58,-1,technician,unknown,tertiary,single,no,no
22384,53,0,22,107,-1,blue-collar,cellular,tertiary,married,no,no
19096,47,718,5,195,-1,admin.,cellular,secondary,married,no,no
21011,39,99,14,170,-1,technician,cellular,tertiary,married,no,no
6995,54,192,28,157,-1,management,unknown,tertiary,divorced,no,no
4271,43,1040,19,552,-1,services,unknown,secondary,divorced,no,yes
12501,29,101,2,143,-1,technician,unknown,tertiary,single,no,no
16128,44,722,22,269,-1,unknown,telephone,unknown,married,no,no
751,54,254,6,66,-1,blue-collar,unknown,secondary,married,no,no
27770,38,127,28,70,-1,blue-collar,cellular,primary,single,no,no
35929,59,0,8,130,-1,management,cellular,primary,married,no,no
107,34,61,5,21,-1,admin.,unknown,secondary,married,no,no
20464,49,1269,12,117,-1,unknown,cellular,secondary,married,no,no
5723,42,193,26,262,-1,unemployed,unknown,secondary,divorced,no,no
22095,33,0,21,102,-1,management,cellular,tertiary,married,no,no
12954,47,1152,7,260,-1,housemaid,telephone,secondary,married,no,no
12562,61,313,3,42,-1,retired,unknown,secondary,married,no,no
4536,33,4897,20,151,-1,management,unknown,primary,single,no,no
40700,63,8103,7,258,-1,retired,cellular,tertiary,married,no,no
39639,34,402,26,147,-1,management,cellular,tertiary,married,no,no
28177,45,-90,29,128,192,management,cellular,tertiary,divorced,no,no
11474,47,989,19,116,-1,admin.,unknown,unknown,married,no,no
11807,45,0,20,74,-1,blue-collar,unknown,primary,married,no,no
38968,23,279,18,843,370,services,cellular,secondary,single,no,yes
10376,39,1397,12,10,-1,blue-collar,unknown,primary,married,no,no
36413,48,-470,11,410,292,services,cellular,secondary,single,yes,no
2730,44,633,13,1032,-1,blue-collar,unknown,secondary,single,no,no
11305,37,0,18,77,-1,services,unknown,primary,divorced,no,no
18956,52,7192,4,1486,-1,management,cellular,tertiary,married,no,yes
42511,28,1705,17,412,-1,blue-collar,cellular,secondary,single,no,yes
44219,33,183,16,457,182,technician,cellular,secondary,married,no,yes
22015,54,390,20,68,-1,unknown,cellular,unknown,married,no,no
27721,39,616,8,170,-1,technician,telephone,secondary,married,no,no
36788,30,0,12,271,349,blue-collar,cellular,secondary,single,no,no
10352,40,3944,12,64,-1,housemaid,unknown,secondary,married,no,no
36748,28,-31,12,369,-1,admin.,cellular,secondary,married,no,no
37569,31,466,14,164,-1,management,cellular,secondary,married,no,no
13953,44,-101,10,99,-1,admin.,cellular,secondary,single,no,no
8205,30,173,2,184,-1,technician,unknown,secondary,married,no,no
3714,26,246,16,1143,-1,blue-collar,unknown,secondary,married,no,yes
29269,26,494,2,237,-1,blue-collar,cellular,secondary,single,no,no
36296,32,-616,11,74,-1,self-employed,cellular,secondary,single,no,no
14683,42,0,15,257,-1,technician,cellular,secondary,married,no,no
40676,73,5539,6,338,-1,retired,telephone,primary,married,no,yes
33951,55,357,30,878,-1,retired,cellular,tertiary,married,no,no
44132,66,53,12,562,-1,retired,cellular,unknown,divorced,no,yes
30893,33,1029,9,345,-1,technician,cellular,secondary,married,no,no
4150,42,14752,19,107,-1,housemaid,unknown,primary,married,no,no
44155,36,62,13,311,91,management,cellular,unknown,single,no,yes
9527,28,3430,6,72,-1,blue-collar,unknown,secondary,single,no,no
20936,59,684,13,48,-1,management,cellular,tertiary,single,no,no
7907,46,324,30,293,-1,blue-collar,unknown,secondary,single,no,no
10112,51,196,11,98,-1,admin.,unknown,unknown,single,no,no
42084,47,1725,30,183,-1,unemployed,cellular,tertiary,married,no,no
9373,38,0,6,414,-1,unknown,unknown,primary,married,no,no
45174,62,272,11,289,92,blue-collar,cellular,secondary,married,no,yes
36105,47,298,11,183,-1,admin.,cellular,secondary,married,no,no
1669,33,120,9,250,-1,blue-collar,unknown,primary,married,no,no
12065,58,0,20,22,-1,management,unknown,tertiary,married,no,no
17703,57,1301,29,63,-1,services,cellular,secondary,married,no,no
7957,38,-10,2,137,-1,self-employed,unknown,secondary,married,no,no
14140,58,0,11,116,-1,admin.,cellular,secondary,married,no,no
14275,34,800,14,103,-1,technician,cellular,secondary,married,no,no
15261,37,0,17,91,-1,management,cellular,tertiary,married,yes,no
32381,37,2848,16,280,147,blue-collar,cellular,secondary,married,no,no
25672,51,5403,19,698,-1,entrepreneur,cellular,secondary,married,no,no
30224,57,297,5,633,-1,management,cellular,tertiary,married,no,no
4267,28,3238,19,7,-1,management,unknown,tertiary,single,no,no
30800,31,690,6,92,-1,admin.,cellular,secondary,single,no,no
13855,40,2158,10,277,-1,blue-collar,cellular,secondary,married,no,no
42884,33,0,4,111,98,admin.,cellular,tertiary,married,no,no
24103,58,372,29,11,-1,management,unknown,tertiary,divorced,no,yes
31442,23,1004,30,114,-1,management,cellular,tertiary,single,no,no
44360,35,980,2,428,336,self-employed,cellular,tertiary,married,no,no
19778,45,162,8,130,-1,blue-collar,cellular,secondary,married,no,no
42466,41,1077,9,207,387,unemployed,telephone,secondary,married,no,yes
28816,33,300,30,922,-1,entrepreneur,cellular,tertiary,single,no,yes
6768,24,288,28,185,-1,technician,unknown,secondary,single,no,no
20004,32,0,8,83,-1,management,cellular,tertiary,married,no,no
39807,48,332,1,262,-1,housemaid,cellular,primary,married,no,no
16416,26,321,23,638,-1,entrepreneur,cellular,secondary,married,no,no
21585,55,2537,19,97,-1,management,cellular,tertiary,married,no,no
32710,32,1415,17,645,345,blue-collar,cellular,secondary,single,no,no
32990,30,-172,17,282,329,services,cellular,secondary,single,no,no
6334,43,3257,27,120,-1,management,unknown,tertiary,divorced,no,no
35984,44,140,8,324,268,technician,cellular,secondary,single,no,no
44541,28,-62,12,17,-1,management,unknown,tertiary,single,no,no
38699,39,-529,15,22,175,technician,cellular,secondary,single,no,no
15526,35,145,18,799,-1,entrepreneur,cellular,tertiary,single,no,yes
2059,39,507,12,150,-1,unemployed,unknown,secondary,divorced,no,no
22237,45,0,21,144,-1,management,cellular,tertiary,married,no,no
14343,32,-169,14,310,-1,admin.,telephone,secondary,married,no,no
2246,50,1114,12,298,-1,admin.,unknown,secondary,married,no,no
16826,32,4612,24,937,-1,services,cellular,secondary,divorced,no,no
10920,45,0,17,161,-1,housemaid,unknown,primary,married,yes,no
5908,34,1640,26,160,-1,management,unknown,tertiary,single,no,no
31003,27,-172,9,125,-1,admin.,cellular,secondary,single,no,no
38047,47,1358,14,80,-1,admin.,cellular,secondary,married,no,no
14181,50,1840,11,184,-1,technician,cellular,tertiary,single,no,no
35369,27,37,7,125,364,student,cellular,tertiary,single,no,no
6621,26,265,28,593,-1,entrepreneur,unknown,secondary,single,no,no
17142,31,1767,25,395,-1,entrepreneur,telephone,tertiary,divorced,no,no
7453,37,1053,29,194,-1,blue-collar,unknown,primary,married,no,no
26360,36,11675,20,48,-1,management,cellular,tertiary,married,no,no
4575,33,105,20,360,-1,technician,unknown,secondary,married,no,no
23718,31,-564,28,49,-1,technician,cellular,tertiary,single,no,no
13299,41,17,8,117,-1,blue-collar,cellular,primary,married,no,no
35109,34,1254,6,77,-1,technician,cellular,secondary,married,no,no
3140,29,416,14,1118,-1,blue-collar,unknown,secondary,married,no,no
19942,31,535,8,81,-1,technician,cellular,secondary,married,no,no
42900,29,308,4,162,184,management,cellular,tertiary,single,no,no
