,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,pdays,previous,poutcome,y,ids
4565,34.0,management,single,tertiary,no,673.0,yes,yes,unknown,20.0,may,120.0,-1.0,0.0,unknown,no,4565
31317,34.0,admin.,divorced,secondary,no,1085.0,no,no,cellular,11.0,mar,101.0,-1.0,0.0,unknown,yes,31317
27925,29.0,technician,married,tertiary,no,4557.0,no,no,cellular,28.0,jan,103.0,-1.0,0.0,unknown,no,27925
29580,36.0,blue-collar,married,secondary,yes,13.0,no,yes,cellular,3.0,feb,150.0,-1.0,0.0,unknown,no,29580
41882,72.0,retired,married,primary,no,806.0,no,no,cellular,19.0,oct,169.0,-1.0,0.0,unknown,no,41882
32048,65.0,management,married,secondary,no,5251.0,no,no,telephone,14.0,apr,226.0,-1.0,0.0,unknown,no,32048
16921,30.0,blue-collar,single,primary,no,3195.0,yes,yes,cellular,25.0,jul,134.0,-1.0,0.0,unknown,no,16921
15315,56.0,blue-collar,divorced,primary,yes,-1.0,no,no,cellular,18.0,jul,304.0,-1.0,0.0,unknown,no,15315
32643,40.0,blue-collar,married,secondary,no,4795.0,yes,no,cellular,17.0,apr,57.0,-1.0,0.0,unknown,no,32643
11625,42.0,management,divorced,secondary,yes,923.0,yes,no,unknown,19.0,jun,129.0,-1.0,0.0,unknown,no,11625
10211,58.0,management,married,tertiary,no,313.0,no,no,unknown,11.0,jun,204.0,-1.0,0.0,unknown,no,10211
27984,33.0,blue-collar,married,secondary,no,0.0,yes,no,cellular,28.0,jan,176.0,266.0,1.0,other,no,27984
44841,35.0,student,single,secondary,no,278.0,no,no,unknown,21.0,sep,84.0,-1.0,0.0,unknown,no,44841
4605,33.0,blue-collar,married,primary,no,3512.0,yes,no,unknown,20.0,may,697.0,-1.0,0.0,unknown,no,4605
34631,33.0,technician,divorced,secondary,no,1480.0,yes,no,cellular,5.0,may,223.0,-1.0,0.0,unknown,no,34631
30194,30.0,blue-collar,single,secondary,no,574.0,no,no,cellular,5.0,feb,11.0,-1.0,0.0,unknown,no,30194
21955,39.0,housemaid,married,secondary,no,-146.0,yes,yes,cellular,20.0,aug,239.0,-1.0,0.0,unknown,no,21955
44418,35.0,unemployed,single,tertiary,no,415.0,no,no,cellular,4.0,aug,462.0,92.0,4.0,success,yes,44418
36,25.0,blue-collar,married,secondary,no,-7.0,yes,no,unknown,5.0,may,365.0,-1.0,0.0,unknown,no,36
36054,34.0,entrepreneur,married,primary,no,0.0,yes,no,cellular,11.0,may,547.0,-1.0,0.0,unknown,no,36054
37830,36.0,blue-collar,married,secondary,no,779.0,yes,no,cellular,14.0,may,172.0,-1.0,0.0,unknown,no,37830
3346,23.0,technician,single,secondary,no,76.0,yes,no,unknown,15.0,may,23.0,-1.0,0.0,unknown,no,3346
39186,27.0,blue-collar,single,secondary,no,2752.0,yes,no,cellular,18.0,may,165.0,-1.0,0.0,unknown,no,39186
30783,32.0,housemaid,married,primary,no,-184.0,yes,no,cellular,6.0,feb,129.0,197.0,1.0,failure,no,30783
43280,27.0,management,single,tertiary,no,948.0,yes,no,cellular,12.0,mar,121.0,207.0,1.0,failure,no,43280
5732,40.0,blue-collar,married,secondary,no,193.0,yes,yes,unknown,26.0,may,258.0,-1.0,0.0,unknown,no,5732
30356,34.0,management,single,tertiary,no,0.0,no,no,cellular,5.0,feb,71.0,-1.0,0.0,unknown,no,30356
4933,33.0,blue-collar,married,secondary,no,932.0,yes,no,unknown,21.0,may,226.0,-1.0,0.0,unknown,no,4933
31361,29.0,admin.,single,tertiary,no,261.0,no,no,cellular,17.0,mar,136.0,-1.0,0.0,unknown,no,31361
44058,19.0,student,single,secondary,no,526.0,no,no,cellular,1.0,jul,174.0,199.0,3.0,failure,no,44058
2015,31.0,blue-collar,married,secondary,no,42.0,yes,no,unknown,9.0,may,210.0,-1.0,0.0,unknown,no,2015
21815,46.0,technician,married,tertiary,no,591.0,no,no,cellular,20.0,aug,50.0,-1.0,0.0,unknown,no,21815
15639,27.0,blue-collar,single,tertiary,no,1372.0,no,no,cellular,21.0,jul,230.0,-1.0,0.0,unknown,no,15639
43678,31.0,blue-collar,married,secondary,no,136.0,no,no,cellular,12.0,may,228.0,267.0,1.0,failure,yes,43678
1306,54.0,services,married,secondary,no,841.0,yes,no,unknown,8.0,may,284.0,-1.0,0.0,unknown,no,1306
36616,60.0,retired,divorced,tertiary,no,-134.0,no,no,cellular,12.0,may,243.0,271.0,4.0,failure,no,36616
10632,55.0,technician,married,unknown,no,0.0,no,no,unknown,16.0,jun,153.0,-1.0,0.0,unknown,no,10632
6656,45.0,services,married,secondary,no,-839.0,yes,no,unknown,28.0,may,68.0,-1.0,0.0,unknown,no,6656
37789,23.0,blue-collar,single,secondary,no,1105.0,yes,no,cellular,14.0,may,377.0,-1.0,0.0,unknown,no,37789
1975,48.0,blue-collar,married,primary,no,231.0,yes,no,unknown,9.0,may,752.0,-1.0,0.0,unknown,no,1975
22080,40.0,management,married,tertiary,no,185.0,no,no,cellular,21.0,aug,310.0,-1.0,0.0,unknown,no,22080
9607,45.0,admin.,divorced,secondary,no,246.0,no,no,unknown,6.0,jun,119.0,-1.0,0.0,unknown,no,9607
16163,60.0,blue-collar,married,secondary,no,-223.0,no,yes,cellular,22.0,jul,282.0,-1.0,0.0,unknown,no,16163
12678,33.0,management,married,secondary,no,4385.0,no,yes,cellular,4.0,jul,92.0,-1.0,0.0,unknown,no,12678
15944,25.0,entrepreneur,married,tertiary,no,38.0,yes,no,cellular,22.0,jul,278.0,-1.0,0.0,unknown,no,15944
1782,39.0,management,married,tertiary,no,183.0,yes,no,unknown,9.0,may,324.0,-1.0,0.0,unknown,no,1782
42097,20.0,student,single,primary,no,0.0,no,no,cellular,2.0,nov,69.0,182.0,4.0,failure,no,42097
26050,33.0,management,single,tertiary,no,923.0,yes,no,cellular,19.0,nov,1307.0,173.0,6.0,failure,no,26050
2863,51.0,management,divorced,tertiary,no,482.0,yes,no,unknown,14.0,may,178.0,-1.0,0.0,unknown,no,2863
6367,28.0,unemployed,married,secondary,no,863.0,yes,yes,unknown,27.0,may,355.0,-1.0,0.0,unknown,no,6367
14705,50.0,admin.,married,secondary,no,219.0,yes,no,cellular,15.0,jul,419.0,-1.0,0.0,unknown,no,14705
44758,28.0,admin.,married,secondary,no,1595.0,no,no,unknown,9.0,sep,1.0,254.0,4.0,success,no,44758
4328,34.0,blue-collar,divorced,secondary,no,164.0,yes,no,unknown,19.0,may,102.0,-1.0,0.0,unknown,no,4328
29707,41.0,technician,single,tertiary,no,-89.0,yes,no,cellular,3.0,feb,195.0,251.0,4.0,failure,no,29707
44278,28.0,student,single,secondary,no,2015.0,no,no,cellular,26.0,jul,110.0,182.0,2.0,failure,no,44278
28838,54.0,technician,divorced,secondary,no,1114.0,yes,no,cellular,30.0,jan,81.0,-1.0,0.0,unknown,no,28838
7375,34.0,admin.,single,secondary,no,10.0,no,yes,unknown,29.0,may,310.0,-1.0,0.0,unknown,no,7375
4114,59.0,blue-collar,divorced,primary,no,457.0,yes,no,unknown,19.0,may,63.0,-1.0,0.0,unknown,no,4114
332,30.0,blue-collar,single,secondary,no,-457.0,yes,no,unknown,5.0,may,143.0,-1.0,0.0,unknown,no,332
12993,47.0,services,married,secondary,no,24.0,no,yes,cellular,7.0,jul,95.0,-1.0,0.0,unknown,no,12993
40094,24.0,student,single,secondary,no,1957.0,no,no,cellular,4.0,jun,113.0,-1.0,0.0,unknown,no,40094
9935,37.0,blue-collar,married,primary,no,4997.0,no,no,unknown,9.0,jun,172.0,-1.0,0.0,unknown,no,9935
24296,49.0,services,married,secondary,no,1084.0,yes,no,telephone,17.0,nov,99.0,-1.0,0.0,unknown,no,24296
5669,30.0,technician,married,tertiary,no,541.0,yes,no,unknown,26.0,may,414.0,-1.0,0.0,unknown,yes,5669
25001,55.0,management,married,tertiary,no,5010.0,no,no,cellular,18.0,nov,530.0,-1.0,0.0,unknown,no,25001
26901,36.0,management,married,tertiary,no,14462.0,yes,no,cellular,21.0,nov,10.0,-1.0,0.0,unknown,no,26901
31705,53.0,blue-collar,married,primary,no,53.0,yes,no,cellular,7.0,apr,208.0,140.0,1.0,failure,no,31705
1967,29.0,blue-collar,married,secondary,no,15.0,yes,yes,unknown,9.0,may,432.0,-1.0,0.0,unknown,no,1967
39450,32.0,admin.,married,secondary,no,31.0,no,no,cellular,25.0,may,101.0,-1.0,0.0,unknown,no,39450
33709,34.0,services,married,secondary,no,0.0,yes,no,cellular,21.0,apr,95.0,-1.0,0.0,unknown,no,33709
35307,53.0,blue-collar,married,secondary,no,913.0,yes,no,cellular,7.0,may,213.0,288.0,1.0,failure,no,35307
33684,39.0,blue-collar,married,primary,no,143.0,yes,no,cellular,20.0,apr,6.0,348.0,1.0,other,no,33684
27792,52.0,services,married,secondary,no,393.0,yes,yes,cellular,28.0,jan,446.0,182.0,8.0,failure,no,27792
5747,47.0,management,single,tertiary,no,191.0,yes,no,unknown,26.0,may,212.0,-1.0,0.0,unknown,no,5747
16977,54.0,management,divorced,tertiary,no,2079.0,no,yes,cellular,25.0,jul,217.0,-1.0,0.0,unknown,no,16977
21904,55.0,admin.,married,secondary,no,128.0,no,no,cellular,20.0,aug,359.0,-1.0,0.0,unknown,no,21904
36611,41.0,admin.,single,secondary,no,224.0,yes,no,cellular,12.0,may,22.0,-1.0,0.0,unknown,no,36611
40610,28.0,management,married,tertiary,no,1240.0,no,no,cellular,4.0,aug,849.0,-1.0,0.0,unknown,yes,40610
41087,32.0,blue-collar,single,secondary,no,551.0,yes,no,cellular,14.0,aug,99.0,-1.0,0.0,unknown,no,41087
13340,55.0,admin.,married,secondary,no,859.0,no,no,telephone,8.0,jul,153.0,-1.0,0.0,unknown,no,13340
4831,28.0,entrepreneur,single,tertiary,no,135.0,yes,no,unknown,21.0,may,195.0,-1.0,0.0,unknown,no,4831
38886,32.0,admin.,single,secondary,no,396.0,yes,no,cellular,18.0,may,88.0,364.0,1.0,failure,no,38886
28771,31.0,management,married,tertiary,no,1384.0,yes,no,cellular,30.0,jan,203.0,2.0,3.0,other,no,28771
6341,51.0,technician,married,secondary,no,-1042.0,yes,no,unknown,27.0,may,272.0,-1.0,0.0,unknown,no,6341
29521,26.0,unemployed,single,tertiary,no,23494.0,no,no,cellular,3.0,feb,136.0,-1.0,0.0,unknown,no,29521
5622,33.0,management,divorced,tertiary,no,471.0,no,no,unknown,23.0,may,215.0,-1.0,0.0,unknown,no,5622
33761,34.0,management,married,tertiary,no,0.0,no,no,cellular,22.0,apr,176.0,-1.0,0.0,unknown,no,33761
40058,37.0,services,single,secondary,no,1045.0,no,no,cellular,4.0,jun,106.0,79.0,3.0,success,no,40058
1977,38.0,self-employed,married,secondary,no,138.0,no,no,unknown,9.0,may,182.0,-1.0,0.0,unknown,no,1977
35208,40.0,blue-collar,single,secondary,no,322.0,yes,no,cellular,7.0,may,201.0,-1.0,0.0,unknown,no,35208
35071,35.0,blue-collar,single,secondary,no,343.0,yes,no,cellular,6.0,may,151.0,-1.0,0.0,unknown,no,35071
35878,37.0,services,married,secondary,no,3429.0,yes,yes,cellular,8.0,may,151.0,171.0,11.0,other,no,35878
18349,58.0,retired,married,secondary,no,53.0,no,no,cellular,31.0,jul,102.0,-1.0,0.0,unknown,no,18349
15372,50.0,blue-collar,married,secondary,no,1498.0,yes,no,cellular,18.0,jul,223.0,-1.0,0.0,unknown,no,15372
2160,46.0,blue-collar,married,primary,no,-29.0,yes,no,unknown,12.0,may,322.0,-1.0,0.0,unknown,no,2160
18180,47.0,management,married,tertiary,no,337.0,no,no,telephone,30.0,jul,300.0,-1.0,0.0,unknown,no,18180
28850,45.0,entrepreneur,divorced,secondary,no,44.0,no,yes,cellular,30.0,jan,250.0,2.0,1.0,other,no,28850
1367,28.0,self-employed,married,tertiary,no,120.0,yes,yes,unknown,8.0,may,130.0,-1.0,0.0,unknown,no,1367
19722,40.0,technician,married,tertiary,no,162.0,no,no,cellular,7.0,aug,256.0,-1.0,0.0,unknown,no,19722
32519,43.0,admin.,single,tertiary,no,664.0,yes,no,cellular,17.0,apr,119.0,-1.0,0.0,unknown,no,32519
17217,54.0,blue-collar,married,primary,no,38.0,no,no,cellular,28.0,jul,115.0,-1.0,0.0,unknown,no,17217
44883,36.0,self-employed,married,tertiary,no,980.0,no,no,cellular,24.0,sep,349.0,53.0,8.0,failure,no,44883
41036,74.0,retired,married,tertiary,no,6027.0,no,no,cellular,14.0,aug,233.0,-1.0,0.0,unknown,no,41036
6311,39.0,blue-collar,married,primary,no,1135.0,yes,no,unknown,27.0,may,35.0,-1.0,0.0,unknown,no,6311
21579,32.0,management,married,tertiary,no,644.0,no,no,cellular,19.0,aug,100.0,-1.0,0.0,unknown,no,21579
12023,40.0,admin.,single,secondary,no,142.0,no,yes,unknown,20.0,jun,14.0,-1.0,0.0,unknown,no,12023
13435,54.0,services,married,secondary,no,-22.0,no,yes,cellular,9.0,jul,85.0,-1.0,0.0,unknown,no,13435
42028,27.0,management,single,tertiary,no,390.0,no,no,cellular,28.0,oct,190.0,82.0,1.0,success,no,42028
41629,49.0,self-employed,married,tertiary,no,1791.0,no,no,cellular,25.0,sep,139.0,-1.0,0.0,unknown,no,41629
36934,40.0,blue-collar,married,primary,no,2495.0,yes,no,cellular,12.0,may,135.0,354.0,3.0,other,no,36934
18908,46.0,blue-collar,married,primary,no,809.0,no,no,cellular,4.0,aug,160.0,-1.0,0.0,unknown,no,18908
29990,46.0,entrepreneur,married,tertiary,no,954.0,yes,yes,cellular,4.0,feb,532.0,-1.0,0.0,unknown,no,29990
29878,39.0,blue-collar,married,primary,no,33.0,yes,no,cellular,4.0,feb,211.0,-1.0,0.0,unknown,no,29878
4862,35.0,management,single,tertiary,no,6659.0,yes,no,unknown,21.0,may,83.0,-1.0,0.0,unknown,no,4862
885,29.0,unemployed,married,tertiary,no,8.0,yes,no,unknown,7.0,may,233.0,-1.0,0.0,unknown,no,885
44015,22.0,student,single,secondary,no,10971.0,no,no,cellular,28.0,jun,181.0,-1.0,0.0,unknown,no,44015
18097,40.0,admin.,divorced,secondary,no,4.0,no,no,cellular,30.0,jul,63.0,-1.0,0.0,unknown,no,18097
36787,35.0,blue-collar,single,secondary,no,68.0,yes,no,cellular,12.0,may,334.0,347.0,6.0,failure,no,36787
31057,72.0,retired,married,tertiary,no,0.0,no,no,cellular,13.0,feb,99.0,-1.0,0.0,unknown,yes,31057
772,42.0,technician,single,secondary,no,0.0,yes,no,unknown,7.0,may,275.0,-1.0,0.0,unknown,no,772
15953,40.0,entrepreneur,married,tertiary,no,121.0,yes,no,cellular,22.0,jul,80.0,-1.0,0.0,unknown,no,15953
36307,49.0,blue-collar,married,secondary,no,0.0,yes,no,telephone,11.0,may,52.0,-1.0,0.0,unknown,no,36307
42371,46.0,housemaid,married,secondary,no,38.0,no,no,cellular,25.0,nov,541.0,-1.0,0.0,unknown,yes,42371
23120,52.0,self-employed,married,secondary,no,517.0,no,no,cellular,26.0,aug,77.0,-1.0,0.0,unknown,no,23120
12834,40.0,management,divorced,tertiary,no,492.0,no,yes,cellular,7.0,jul,125.0,-1.0,0.0,unknown,no,12834
14810,60.0,admin.,married,primary,no,686.0,yes,yes,cellular,16.0,jul,122.0,-1.0,0.0,unknown,no,14810
12114,37.0,entrepreneur,married,tertiary,yes,-456.0,yes,yes,unknown,20.0,jun,42.0,-1.0,0.0,unknown,no,12114
20969,37.0,technician,divorced,secondary,no,2686.0,no,no,cellular,14.0,aug,144.0,-1.0,0.0,unknown,no,20969
35220,34.0,technician,single,secondary,no,49.0,no,no,cellular,7.0,may,393.0,351.0,1.0,failure,no,35220
25897,50.0,self-employed,married,tertiary,no,4012.0,no,no,cellular,19.0,nov,690.0,-1.0,0.0,unknown,no,25897
2740,42.0,admin.,single,secondary,no,243.0,yes,no,unknown,14.0,may,46.0,-1.0,0.0,unknown,no,2740
12327,28.0,blue-collar,married,primary,no,702.0,yes,no,unknown,26.0,jun,318.0,-1.0,0.0,unknown,no,12327
3211,47.0,management,divorced,tertiary,no,107.0,no,no,unknown,15.0,may,246.0,-1.0,0.0,unknown,no,3211
24406,45.0,technician,single,secondary,no,1171.0,yes,no,cellular,17.0,nov,34.0,-1.0,0.0,unknown,no,24406
12813,39.0,admin.,married,secondary,no,2319.0,no,no,cellular,7.0,jul,84.0,-1.0,0.0,unknown,no,12813
14419,54.0,retired,divorced,primary,no,308.0,yes,no,cellular,14.0,jul,248.0,-1.0,0.0,unknown,no,14419
30235,30.0,blue-collar,single,secondary,no,144.0,yes,no,cellular,5.0,feb,259.0,260.0,3.0,failure,no,30235
13358,52.0,management,married,secondary,no,4873.0,no,no,cellular,8.0,jul,99.0,-1.0,0.0,unknown,no,13358
26718,36.0,blue-collar,single,tertiary,no,3649.0,yes,no,cellular,20.0,nov,399.0,156.0,2.0,failure,no,26718
4680,38.0,technician,divorced,secondary,no,273.0,yes,no,unknown,20.0,may,314.0,-1.0,0.0,unknown,no,4680
42047,61.0,blue-collar,married,secondary,no,272.0,no,no,cellular,29.0,oct,318.0,269.0,1.0,failure,no,42047
23428,39.0,management,married,secondary,no,0.0,yes,no,cellular,27.0,aug,63.0,-1.0,0.0,unknown,no,23428
42995,76.0,retired,married,primary,no,3324.0,no,no,cellular,11.0,feb,309.0,90.0,4.0,success,yes,42995
36294,41.0,housemaid,married,secondary,no,81.0,yes,no,cellular,11.0,may,193.0,-1.0,0.0,unknown,no,36294
28257,30.0,blue-collar,single,secondary,no,783.0,no,yes,cellular,29.0,jan,197.0,-1.0,0.0,unknown,no,28257
4618,33.0,management,married,tertiary,no,148.0,no,no,unknown,20.0,may,717.0,-1.0,0.0,unknown,no,4618
36575,40.0,blue-collar,married,secondary,no,1808.0,yes,no,cellular,12.0,may,560.0,-1.0,0.0,unknown,yes,36575
40777,31.0,management,married,tertiary,no,10884.0,no,no,cellular,10.0,aug,294.0,98.0,2.0,success,yes,40777
31815,32.0,technician,married,secondary,no,1951.0,yes,no,cellular,8.0,apr,518.0,261.0,2.0,failure,no,31815
3623,49.0,retired,married,unknown,no,247.0,no,no,unknown,15.0,may,213.0,-1.0,0.0,unknown,no,3623
11962,51.0,housemaid,married,secondary,no,3984.0,no,no,unknown,20.0,jun,7.0,-1.0,0.0,unknown,no,11962
43124,38.0,blue-collar,single,secondary,no,711.0,yes,no,cellular,24.0,feb,254.0,140.0,1.0,other,no,43124
2200,54.0,entrepreneur,divorced,secondary,no,104.0,yes,no,unknown,12.0,may,391.0,-1.0,0.0,unknown,no,2200
15434,32.0,blue-collar,single,secondary,no,188.0,no,yes,cellular,18.0,jul,144.0,-1.0,0.0,unknown,no,15434
41253,39.0,technician,married,secondary,no,116.0,no,no,cellular,24.0,aug,79.0,94.0,2.0,success,no,41253
12679,30.0,services,married,secondary,no,137.0,no,no,cellular,4.0,jul,407.0,-1.0,0.0,unknown,no,12679
29983,37.0,unemployed,single,tertiary,no,1032.0,no,no,telephone,4.0,feb,63.0,-1.0,0.0,unknown,no,29983
25264,38.0,services,married,unknown,no,4644.0,yes,no,telephone,18.0,nov,55.0,-1.0,0.0,unknown,no,25264
6382,23.0,blue-collar,single,secondary,no,13.0,yes,yes,unknown,27.0,may,280.0,-1.0,0.0,unknown,no,6382
42226,39.0,management,single,tertiary,no,1509.0,no,no,cellular,11.0,nov,248.0,-1.0,0.0,unknown,no,42226
35335,53.0,self-employed,married,secondary,no,1066.0,yes,no,cellular,7.0,may,57.0,170.0,4.0,failure,no,35335
41658,26.0,student,single,secondary,no,132.0,no,no,cellular,1.0,oct,194.0,119.0,1.0,success,yes,41658
30423,28.0,technician,single,secondary,no,440.0,no,yes,cellular,5.0,feb,177.0,-1.0,0.0,unknown,no,30423
3385,42.0,services,married,unknown,no,8.0,yes,no,unknown,15.0,may,299.0,-1.0,0.0,unknown,no,3385
22889,35.0,technician,married,secondary,no,31.0,no,no,cellular,25.0,aug,390.0,-1.0,0.0,unknown,no,22889
44538,25.0,student,single,unknown,no,1003.0,no,no,cellular,12.0,aug,361.0,-1.0,0.0,unknown,yes,44538
14417,43.0,services,married,secondary,no,778.0,no,no,cellular,14.0,jul,619.0,-1.0,0.0,unknown,no,14417
20803,42.0,technician,married,tertiary,no,849.0,no,no,cellular,13.0,aug,403.0,-1.0,0.0,unknown,no,20803
40027,41.0,management,married,tertiary,no,15787.0,no,yes,cellular,3.0,jun,175.0,-1.0,0.0,unknown,no,40027
22684,33.0,technician,single,secondary,no,9.0,no,yes,cellular,25.0,aug,145.0,-1.0,0.0,unknown,no,22684
5713,53.0,management,married,secondary,no,1925.0,yes,no,unknown,26.0,may,153.0,-1.0,0.0,unknown,no,5713
25565,58.0,management,married,secondary,no,60.0,no,yes,cellular,19.0,nov,291.0,-1.0,0.0,unknown,no,25565
12724,47.0,admin.,single,secondary,no,3531.0,yes,no,cellular,7.0,jul,49.0,-1.0,0.0,unknown,no,12724
18283,27.0,technician,single,secondary,no,0.0,no,no,cellular,31.0,jul,13.0,-1.0,0.0,unknown,no,18283
6873,29.0,services,divorced,secondary,no,1336.0,yes,no,unknown,28.0,may,298.0,-1.0,0.0,unknown,no,6873
16805,45.0,blue-collar,married,secondary,no,1103.0,yes,no,cellular,24.0,jul,828.0,-1.0,0.0,unknown,no,16805
