ids,age,balance,day,duration,pdays,job,contact,marital,default,y
70,57,5935,5,258,-1,blue-collar,unknown,married,no,no
71,31,25,5,172,-1,services,unknown,married,no,no
72,54,282,5,154,-1,management,unknown,married,no,no
73,55,23,5,291,-1,blue-collar,unknown,married,no,no
75,53,384,5,176,-1,technician,unknown,married,no,no
76,44,582,5,211,-1,blue-collar,unknown,married,no,no
77,55,91,5,349,-1,services,unknown,divorced,no,no
78,49,0,5,272,-1,services,unknown,divorced,no,no
79,55,1,5,208,-1,services,unknown,divorced,yes,no
81,47,164,5,212,-1,services,unknown,divorced,no,no
82,42,690,5,20,-1,technician,unknown,single,no,no
83,59,2343,5,1042,-1,admin.,unknown,married,no,yes
84,46,137,5,246,-1,self-employed,unknown,married,no,no
85,51,173,5,529,-1,blue-collar,unknown,married,no,no
86,56,45,5,1467,-1,admin.,unknown,married,no,yes
87,41,1270,5,1389,-1,technician,unknown,married,no,yes
88,46,16,5,188,-1,management,unknown,divorced,no,no
89,57,486,5,180,-1,retired,unknown,married,no,no
90,42,50,5,48,-1,management,unknown,single,no,no
91,30,152,5,213,-1,technician,unknown,married,no,no
92,60,290,5,583,-1,admin.,unknown,married,no,no
93,60,54,5,221,-1,blue-collar,unknown,married,no,no
94,57,-37,5,173,-1,entrepreneur,unknown,divorced,no,no
96,55,383,5,287,-1,blue-collar,unknown,married,no,no
97,60,81,5,101,-1,retired,unknown,married,no,no
98,39,0,5,203,-1,technician,unknown,married,no,no
99,46,229,5,197,-1,management,unknown,married,no,no
100,44,-674,5,257,-1,blue-collar,unknown,married,no,no
101,53,90,5,124,-1,blue-collar,unknown,married,no,no
102,52,128,5,229,-1,blue-collar,unknown,married,no,no
103,59,179,5,55,-1,blue-collar,unknown,married,no,no
104,27,0,5,400,-1,technician,unknown,single,no,no
105,44,54,5,197,-1,blue-collar,unknown,married,no,no
109,45,523,5,849,-1,management,unknown,married,no,no
110,29,31,5,194,-1,services,unknown,divorced,no,no
111,46,79,5,144,-1,technician,unknown,divorced,no,no
112,56,-34,5,212,-1,self-employed,unknown,married,no,no
113,36,448,5,286,-1,blue-collar,unknown,married,no,no
115,44,144,5,247,-1,blue-collar,unknown,married,no,no
116,41,351,5,518,-1,admin.,unknown,married,no,no
118,59,262,5,178,-1,management,unknown,divorced,no,no
119,57,0,5,98,-1,technician,unknown,married,no,no
123,43,41,5,127,-1,services,unknown,married,no,no
124,52,7,5,175,-1,technician,unknown,married,no,no
126,29,818,5,61,-1,admin.,unknown,single,no,no
127,34,-16,5,78,-1,services,unknown,married,no,no
128,31,0,5,143,-1,blue-collar,unknown,married,no,no
129,55,2476,5,579,-1,services,unknown,married,no,yes
130,55,1185,5,677,-1,management,unknown,married,no,no
131,32,217,5,345,-1,admin.,unknown,single,no,no
132,38,1685,5,185,-1,technician,unknown,single,no,no
133,55,802,5,100,-1,admin.,unknown,single,no,no
134,28,0,5,125,-1,unemployed,unknown,single,no,no
135,23,94,5,193,-1,blue-collar,unknown,married,no,no
136,32,0,5,136,-1,technician,unknown,single,no,no
137,43,0,5,73,-1,services,unknown,single,no,no
139,46,265,5,541,-1,blue-collar,unknown,married,no,no
140,53,947,5,163,-1,housemaid,unknown,divorced,no,no
141,34,3,5,301,-1,self-employed,unknown,single,no,no
142,57,42,5,46,-1,unemployed,unknown,married,no,no
144,59,57,5,98,-1,blue-collar,unknown,married,no,no
146,56,8,5,157,-1,blue-collar,unknown,divorced,no,no
147,48,293,5,243,-1,unemployed,unknown,married,no,no
148,43,3,5,186,-1,services,unknown,married,no,no
149,54,348,5,579,-1,blue-collar,unknown,married,no,no
150,51,-19,5,163,-1,blue-collar,unknown,married,no,no
152,40,-4,5,2033,-1,management,unknown,married,no,no
153,39,18,5,85,-1,management,unknown,married,no,no
154,50,139,5,114,-1,technician,unknown,married,no,no
155,41,0,5,114,-1,services,unknown,married,no,no
156,51,1883,5,57,-1,blue-collar,unknown,married,no,no
158,52,782,5,93,-1,blue-collar,unknown,married,no,no
159,48,904,5,128,-1,blue-collar,unknown,married,no,no
161,39,47,5,181,-1,technician,unknown,single,no,no
162,47,176,5,303,-1,services,unknown,single,no,no
163,40,1225,5,558,-1,blue-collar,unknown,married,no,no
164,45,86,5,270,-1,technician,unknown,married,no,no
165,26,82,5,228,-1,admin.,unknown,single,no,no
166,52,271,5,99,-1,management,unknown,married,no,no
167,54,1378,5,240,-1,technician,unknown,married,no,no
168,54,184,5,673,-1,admin.,unknown,married,no,yes
169,50,0,5,233,-1,blue-collar,unknown,married,no,no
170,35,0,5,1056,-1,blue-collar,unknown,married,no,no
171,44,1357,5,250,-1,services,unknown,married,no,no
172,53,19,5,252,-1,entrepreneur,unknown,married,no,no
173,35,434,5,138,-1,retired,unknown,single,no,no
174,60,92,5,130,-1,admin.,unknown,divorced,no,no
175,53,1151,5,412,-1,admin.,unknown,divorced,no,no
176,48,41,5,179,-1,unemployed,unknown,married,no,no
177,34,51,5,19,-1,technician,unknown,married,no,no
179,51,1161,5,717,-1,management,unknown,married,no,no
180,31,37,5,313,-1,services,unknown,married,no,no
181,35,787,5,683,-1,technician,unknown,divorced,no,no
182,35,59,5,1077,-1,services,unknown,married,no,no
183,38,253,5,416,-1,technician,unknown,married,no,no
184,36,211,5,146,-1,admin.,unknown,married,no,no
185,58,235,5,167,-1,retired,unknown,married,no,no
187,54,4080,5,140,-1,management,unknown,married,no,no
188,34,53,5,346,-1,blue-collar,unknown,single,no,no
189,31,0,5,562,-1,management,unknown,single,no,no
190,51,2127,5,172,-1,retired,unknown,married,no,no
191,33,377,5,217,-1,management,unknown,married,no,no
192,55,73,5,142,-1,management,unknown,married,no,no
193,42,445,5,67,-1,admin.,unknown,married,no,no
194,34,243,5,291,-1,blue-collar,unknown,married,no,no
195,33,307,5,309,-1,blue-collar,unknown,single,no,no
197,50,173,5,98,-1,technician,unknown,divorced,no,no
198,43,400,5,256,-1,management,unknown,married,no,no
199,61,1428,5,82,-1,blue-collar,unknown,divorced,no,no
200,47,219,5,577,-1,admin.,unknown,married,no,no
201,48,7,5,286,-1,self-employed,unknown,married,no,no
202,44,575,5,477,-1,blue-collar,unknown,married,no,no
204,35,0,5,471,-1,services,unknown,married,no,no
205,50,5699,5,381,-1,services,unknown,married,no,no
206,41,176,5,42,-1,management,unknown,married,no,no
207,41,517,5,251,-1,management,unknown,married,no,no
209,42,56,5,215,-1,retired,unknown,married,no,no
210,38,-390,5,287,-1,blue-collar,unknown,married,no,no
211,53,330,5,216,-1,retired,unknown,married,no,no
212,59,195,5,366,-1,housemaid,unknown,divorced,no,no
213,36,301,5,210,-1,services,unknown,married,no,no
216,47,28,5,338,-1,unknown,unknown,married,no,no
217,53,13,5,410,-1,unemployed,unknown,married,no,no
218,46,965,5,177,-1,housemaid,unknown,married,no,no
219,39,378,5,127,-1,management,unknown,married,no,no
221,28,324,5,175,-1,blue-collar,unknown,married,no,no
222,35,-69,5,300,-1,entrepreneur,unknown,divorced,no,no
223,55,0,5,136,-1,retired,unknown,married,no,no
224,43,205,5,1419,-1,technician,unknown,divorced,no,no
225,48,278,5,125,-1,blue-collar,unknown,married,no,no
226,58,1065,5,213,-1,management,unknown,married,no,no
227,33,34,5,27,-1,management,unknown,single,no,no
228,36,1033,5,238,-1,blue-collar,unknown,married,no,no
229,53,1467,5,124,-1,services,unknown,divorced,no,no
231,31,388,5,730,-1,services,unknown,married,no,no
232,57,294,5,746,-1,entrepreneur,unknown,married,no,no
233,53,1827,5,121,-1,blue-collar,unknown,married,no,no
236,53,315,5,181,-1,admin.,unknown,divorced,no,no
237,37,0,5,79,-1,blue-collar,unknown,married,no,no
238,44,66,5,206,-1,admin.,unknown,divorced,no,no
239,49,-9,5,389,-1,blue-collar,unknown,divorced,no,no
240,46,349,5,127,-1,technician,unknown,married,no,no
243,43,434,5,117,-1,technician,unknown,married,no,no
245,42,275,5,408,-1,management,unknown,married,no,no
246,22,0,5,179,-1,blue-collar,unknown,single,no,no
247,40,207,5,39,-1,management,unknown,married,no,no
248,39,483,5,282,-1,blue-collar,unknown,married,no,no
249,51,2248,5,714,-1,services,unknown,married,no,no
251,53,0,5,181,-1,blue-collar,unknown,married,no,no
252,34,0,5,142,-1,services,unknown,single,no,no
253,33,140,5,227,-1,technician,unknown,divorced,no,no
254,50,297,5,119,-1,management,unknown,single,no,no
255,39,279,5,361,-1,blue-collar,unknown,married,no,no
256,59,901,5,73,-1,entrepreneur,unknown,divorced,no,no
257,30,2573,5,67,-1,technician,unknown,single,no,no
258,36,143,5,350,-1,services,unknown,married,no,no
259,40,475,5,332,-1,blue-collar,unknown,married,no,no
262,37,275,5,132,-1,technician,unknown,married,no,no
263,42,742,5,58,-1,management,unknown,divorced,no,no
265,30,25,5,89,-1,student,unknown,single,no,no
267,39,-349,5,611,-1,admin.,unknown,divorced,no,no
268,41,183,5,110,-1,blue-collar,unknown,married,no,no
269,40,0,5,463,-1,blue-collar,unknown,married,no,no
270,42,0,5,562,-1,management,unknown,single,no,yes
271,40,0,5,962,-1,blue-collar,unknown,divorced,no,no
272,57,1078,5,10,-1,technician,unknown,married,no,no
273,56,155,5,118,-1,entrepreneur,unknown,divorced,no,no
275,59,319,5,143,-1,retired,unknown,married,no,no
276,39,-185,5,189,-1,services,unknown,divorced,no,no
278,38,570,5,75,-1,services,unknown,single,no,no
281,41,-62,5,55,-1,admin.,unknown,married,no,no
282,54,258,5,310,-1,technician,unknown,married,no,no
283,58,76,5,156,-1,blue-collar,unknown,married,no,no
284,30,0,5,5,-1,blue-collar,unknown,single,no,no
285,33,352,5,225,-1,admin.,unknown,single,no,no
286,47,368,5,125,-1,admin.,unknown,married,no,no
287,50,339,5,2,-1,technician,unknown,single,no,no
288,32,1331,5,286,-1,blue-collar,unknown,married,no,no
289,40,672,5,164,-1,self-employed,unknown,married,no,no
291,54,447,5,742,-1,technician,unknown,single,no,no
292,24,423,5,226,-1,student,unknown,single,no,no
293,54,0,5,120,-1,management,unknown,married,no,no
295,56,13,5,357,-1,technician,unknown,divorced,no,no
296,31,3,5,200,-1,blue-collar,unknown,single,no,no
297,24,82,5,204,-1,student,unknown,single,no,no
298,42,28,5,126,-1,blue-collar,unknown,divorced,no,no
299,57,792,5,65,-1,technician,unknown,married,no,no
300,42,408,5,107,-1,blue-collar,unknown,married,no,no
301,51,531,5,267,-1,admin.,unknown,married,no,no
302,57,211,5,248,-1,retired,unknown,married,no,no
303,36,62,5,215,-1,services,unknown,single,no,no
304,53,257,5,209,-1,services,unknown,married,no,no
305,50,1234,5,205,-1,technician,unknown,married,no,no
306,54,313,5,83,-1,management,unknown,married,no,no
307,55,89,5,106,-1,blue-collar,unknown,married,no,no
308,44,129,5,189,-1,blue-collar,unknown,married,no,no
309,43,0,5,105,-1,management,unknown,married,no,no
310,56,353,5,106,-1,admin.,unknown,married,no,no
311,54,851,5,108,-1,technician,unknown,married,no,no
313,37,398,5,214,-1,services,unknown,divorced,no,no
314,33,193,5,132,-1,admin.,unknown,single,no,no
315,46,-358,5,358,-1,admin.,unknown,married,no,no
317,51,0,5,364,-1,technician,unknown,single,no,no
318,40,0,5,136,-1,retired,unknown,single,no,no
319,42,490,5,386,-1,blue-collar,unknown,married,no,no
320,51,0,5,173,-1,blue-collar,unknown,married,no,no
321,49,403,5,241,-1,blue-collar,unknown,married,no,no
322,48,161,5,224,-1,management,unknown,married,no,no
323,32,2558,5,148,-1,technician,unknown,divorced,no,no
326,40,436,5,231,-1,blue-collar,unknown,single,no,no
327,47,831,5,316,-1,technician,unknown,married,no,no
328,57,206,5,216,-1,technician,unknown,married,no,no
329,41,290,5,240,-1,blue-collar,unknown,married,no,no
330,48,1,5,669,-1,blue-collar,unknown,married,no,no
331,42,57,5,425,-1,blue-collar,unknown,married,no,no
333,58,1387,5,174,-1,management,unknown,single,no,no
334,45,24598,5,313,-1,management,unknown,divorced,no,no
335,49,30,5,135,-1,blue-collar,unknown,married,no,no
338,51,-2,5,402,-1,admin.,unknown,single,yes,no
339,32,121,5,213,-1,services,unknown,single,no,no
340,41,842,5,144,-1,blue-collar,unknown,single,no,no
341,43,693,5,124,-1,management,unknown,divorced,no,no
342,40,-333,5,183,-1,blue-collar,unknown,divorced,no,no
343,50,1533,5,325,-1,blue-collar,unknown,married,no,no
344,34,46,5,39,-1,management,unknown,married,no,no
345,53,18,5,503,-1,services,unknown,married,no,no
346,45,44,5,95,-1,technician,unknown,married,no,no
347,39,-100,5,680,-1,blue-collar,unknown,married,no,no
348,44,510,5,421,-1,services,unknown,married,no,no
350,46,187,5,113,-1,management,unknown,single,no,no
351,45,66,5,808,-1,blue-collar,unknown,married,no,no
354,59,27,5,347,-1,unknown,unknown,divorced,no,no
355,31,12,5,208,-1,admin.,unknown,single,no,no
357,33,1068,5,396,-1,entrepreneur,unknown,single,no,no
358,40,211,5,216,-1,blue-collar,unknown,married,no,no
359,46,377,5,98,-1,admin.,unknown,single,no,no
360,48,263,5,350,-1,management,unknown,married,no,no
361,42,1263,6,114,-1,services,unknown,married,no,no
362,27,8,6,88,-1,services,unknown,married,no,no
363,48,126,6,379,-1,admin.,unknown,married,no,no
364,59,230,6,190,-1,admin.,unknown,married,no,no
366,38,308,6,102,-1,admin.,unknown,divorced,no,no
368,38,86,6,218,-1,admin.,unknown,divorced,no,no
370,34,22,6,344,-1,services,unknown,married,no,no
371,38,46,6,195,-1,admin.,unknown,married,no,no
372,37,1293,6,652,-1,blue-collar,unknown,married,no,no
373,25,122,6,286,-1,admin.,unknown,single,no,no
374,48,131,6,189,-1,blue-collar,unknown,married,no,no
376,38,393,6,184,-1,admin.,unknown,single,no,no
377,43,98,6,235,-1,blue-collar,unknown,married,no,no
379,55,224,6,232,-1,blue-collar,unknown,married,no,no
380,38,757,6,133,-1,blue-collar,unknown,married,no,no
381,49,245,6,318,-1,services,unknown,married,no,no
382,40,8486,6,260,-1,management,unknown,married,no,no
384,38,20,6,402,-1,blue-collar,unknown,married,no,no
385,58,1667,6,85,-1,services,unknown,married,no,no
387,32,10,6,501,-1,unemployed,unknown,married,no,no
388,56,830,6,1201,-1,management,unknown,married,no,yes
389,58,29,6,253,-1,blue-collar,unknown,divorced,no,no
390,60,545,6,1030,-1,retired,unknown,divorced,no,yes
392,46,477,6,114,-1,technician,unknown,divorced,no,no
393,27,4,6,243,-1,admin.,unknown,married,no,no
394,43,1205,6,769,-1,blue-collar,unknown,married,no,no
395,32,0,6,135,-1,technician,unknown,single,no,no
396,40,263,6,231,-1,admin.,unknown,single,no,no
397,38,1,6,76,-1,admin.,unknown,married,no,no
398,34,283,6,199,-1,blue-collar,unknown,married,no,no
399,47,206,6,152,-1,blue-collar,unknown,married,no,no
401,48,141,6,424,-1,technician,unknown,married,no,no
402,29,16,6,43,-1,self-employed,unknown,single,no,no
403,50,206,6,154,-1,services,unknown,married,no,no
404,52,7,6,203,-1,technician,unknown,married,no,no
406,58,0,6,393,-1,retired,unknown,married,no,no
407,46,1927,6,241,-1,blue-collar,unknown,divorced,no,no
408,38,284,6,483,-1,technician,unknown,married,no,no
409,46,1660,6,259,-1,blue-collar,unknown,married,no,no
410,32,406,6,227,-1,services,unknown,single,no,no
411,51,230,6,673,-1,blue-collar,unknown,married,no,no
412,39,-25,6,576,-1,admin.,unknown,single,no,no
413,48,182,6,180,-1,admin.,unknown,married,no,no
414,36,1169,6,168,-1,entrepreneur,unknown,married,no,no
415,34,67,6,90,-1,admin.,unknown,divorced,no,no
416,40,77,6,505,-1,technician,unknown,married,no,no
417,43,0,6,245,-1,unemployed,unknown,married,no,no
418,52,55,6,186,-1,blue-collar,unknown,divorced,no,no
419,33,72,6,623,-1,technician,unknown,married,yes,no
420,49,163,6,496,-1,management,unknown,single,no,no
421,32,151,6,118,-1,management,unknown,single,no,no
422,39,113,6,342,-1,admin.,unknown,single,no,no
423,40,0,6,225,-1,blue-collar,unknown,married,no,no
424,38,9,6,185,-1,technician,unknown,single,no,no
426,39,1142,6,276,-1,services,unknown,married,no,no
427,54,2102,6,76,-1,blue-collar,unknown,married,no,no
428,38,4325,6,87,-1,technician,unknown,single,no,no
429,40,217,6,195,-1,blue-collar,unknown,married,no,no
430,55,131,6,744,-1,admin.,unknown,married,no,no
431,42,1680,6,765,-1,management,unknown,married,no,no
432,39,0,6,262,-1,blue-collar,unknown,married,no,no
433,40,46,6,119,-1,blue-collar,unknown,married,no,no
434,32,320,6,198,-1,blue-collar,unknown,married,no,no
435,55,183,6,150,-1,admin.,unknown,married,no,no
436,45,39,6,241,-1,blue-collar,unknown,married,no,no
437,35,560,6,181,-1,management,unknown,single,no,no
438,58,469,6,196,-1,technician,unknown,divorced,no,no
439,35,530,6,149,-1,admin.,unknown,married,no,no
441,34,242,6,112,-1,technician,unknown,single,no,no
442,36,139,6,309,-1,blue-collar,unknown,married,no,no
443,24,0,6,278,-1,self-employed,unknown,single,no,no
444,34,367,6,140,-1,technician,unknown,married,no,no
445,51,228,6,136,-1,admin.,unknown,divorced,no,no
446,39,45248,6,1623,-1,technician,unknown,single,no,yes
447,50,-84,6,101,-1,self-employed,unknown,married,no,no
448,32,310,6,144,-1,services,unknown,single,no,no
450,50,797,6,354,-1,technician,unknown,married,no,no
451,40,71,6,79,-1,services,unknown,married,no,no
452,46,2,6,187,-1,management,unknown,divorced,no,no
453,37,231,6,451,-1,management,unknown,married,no,no
454,34,270,6,159,-1,blue-collar,unknown,married,no,no
455,44,274,6,409,-1,blue-collar,unknown,married,no,no
456,40,-109,6,170,-1,admin.,unknown,single,no,no
457,37,1,6,608,-1,technician,unknown,married,no,yes
458,33,-60,6,243,-1,blue-collar,unknown,single,yes,no
461,39,0,6,262,-1,blue-collar,unknown,married,no,no
462,43,-509,6,124,-1,blue-collar,unknown,married,no,no
465,57,1640,6,204,-1,retired,unknown,single,no,no
466,36,20,6,186,-1,admin.,unknown,single,no,no
467,50,71,6,678,-1,blue-collar,unknown,married,no,no
468,55,52,6,182,-1,blue-collar,unknown,married,no,no
469,44,292,6,162,-1,self-employed,unknown,married,no,no
470,44,424,6,27,-1,services,unknown,divorced,no,no
471,39,109,6,699,-1,housemaid,unknown,single,no,no
472,46,1044,6,43,-1,blue-collar,unknown,married,no,no
475,40,668,6,283,-1,blue-collar,unknown,married,no,no
476,50,964,6,323,-1,management,unknown,married,no,no
477,31,301,6,82,-1,management,unknown,single,no,no
479,39,1877,6,185,-1,management,unknown,single,no,no
480,51,1127,6,47,-1,blue-collar,unknown,married,no,no
481,41,871,6,145,-1,technician,unknown,married,no,no
482,41,767,6,204,-1,technician,unknown,married,no,no
483,43,0,6,187,-1,blue-collar,unknown,married,no,no
485,54,0,6,472,-1,management,unknown,divorced,no,no
486,43,110,6,448,-1,blue-collar,unknown,divorced,no,no
487,59,-76,6,264,-1,management,unknown,divorced,no,no
488,47,178,6,169,-1,technician,unknown,married,no,no
489,40,-66,6,288,-1,blue-collar,unknown,married,no,no
490,32,0,6,176,-1,technician,unknown,married,no,no
491,29,1,6,215,-1,blue-collar,unknown,married,no,no
494,30,-209,6,188,-1,blue-collar,unknown,divorced,no,no
495,39,0,6,174,-1,admin.,unknown,single,no,no
496,39,42,6,226,-1,blue-collar,unknown,divorced,no,no
498,44,-99,6,111,-1,blue-collar,unknown,married,no,no
499,37,17,6,164,-1,technician,unknown,single,no,no
500,46,276,6,157,-1,admin.,unknown,married,no,no
501,32,-170,6,46,-1,technician,unknown,single,no,no
502,37,230,6,374,-1,management,unknown,single,no,no
503,29,9,6,349,-1,blue-collar,unknown,married,no,no
505,45,1297,6,233,-1,blue-collar,unknown,married,no,no
506,57,-331,6,531,-1,retired,unknown,divorced,no,no
507,48,44,6,153,-1,blue-collar,unknown,single,no,no
508,60,15,6,80,-1,retired,unknown,married,yes,no
509,26,712,6,232,-1,admin.,unknown,single,no,no
510,58,5435,6,118,-1,retired,unknown,married,no,no
511,34,507,6,190,-1,admin.,unknown,married,no,no
512,55,387,6,918,-1,unemployed,unknown,divorced,no,yes
513,41,0,6,238,-1,blue-collar,unknown,married,no,no
515,49,167,6,198,-1,entrepreneur,unknown,married,no,no
517,44,148,6,211,-1,blue-collar,unknown,married,no,no
518,31,17,6,120,-1,technician,unknown,married,no,no
519,34,1011,6,136,-1,blue-collar,unknown,single,no,no
520,46,1527,6,269,-1,management,unknown,single,no,no
521,42,744,6,157,-1,management,unknown,married,no,no
522,52,484,6,128,-1,admin.,unknown,married,no,no
523,29,0,6,211,-1,management,unknown,single,no,no
524,53,136,6,267,-1,retired,unknown,married,no,no
525,43,1335,6,371,-1,blue-collar,unknown,married,no,no
526,38,517,6,288,-1,management,unknown,married,no,no
528,48,549,6,427,-1,management,unknown,divorced,no,no
529,30,83,6,310,-1,admin.,unknown,divorced,no,no
531,31,203,6,604,-1,housemaid,unknown,married,no,no
532,42,518,6,198,-1,services,unknown,single,no,no
534,52,1236,6,247,-1,admin.,unknown,married,no,no
535,45,756,6,179,-1,blue-collar,unknown,divorced,no,no
536,48,157,6,73,-1,blue-collar,unknown,married,no,no
537,45,-66,6,263,-1,blue-collar,unknown,married,no,no
538,34,245,6,13,-1,blue-collar,unknown,married,no,no
539,34,-144,6,79,-1,blue-collar,unknown,married,no,no
540,46,71,6,416,-1,blue-collar,unknown,married,no,no
541,49,505,6,162,-1,services,unknown,divorced,no,no
542,50,249,6,129,-1,technician,unknown,married,no,no
543,34,0,6,150,-1,admin.,unknown,single,no,no
544,40,11,6,43,-1,unemployed,unknown,single,no,no
546,59,124,6,26,-1,blue-collar,unknown,divorced,no,no
547,45,82,6,250,-1,blue-collar,unknown,married,no,no
549,56,473,6,416,-1,services,unknown,married,no,no
550,42,372,6,121,-1,services,unknown,divorced,no,no
552,30,34,6,289,-1,student,unknown,single,no,no
553,47,935,6,225,-1,self-employed,unknown,married,no,no
554,33,-10,6,123,-1,blue-collar,unknown,married,no,no
555,36,-106,6,130,-1,admin.,unknown,married,no,no
556,39,471,6,161,-1,services,unknown,divorced,no,no
558,39,170,6,268,-1,blue-collar,unknown,divorced,no,no
560,52,3165,6,26,-1,blue-collar,unknown,married,no,no
561,36,131,6,153,-1,admin.,unknown,divorced,no,no
562,35,204,6,424,-1,entrepreneur,unknown,married,yes,no
563,47,83,6,179,-1,technician,unknown,married,no,no
564,59,0,6,97,-1,services,unknown,divorced,no,no
565,57,5431,6,383,-1,blue-collar,unknown,married,no,no
566,38,1759,6,440,-1,management,unknown,married,no,no
567,46,-125,6,23,-1,unemployed,unknown,married,no,no
568,34,0,6,195,-1,blue-collar,unknown,married,no,no
570,38,573,6,87,-1,technician,unknown,married,no,no
572,41,-137,6,189,-1,blue-collar,unknown,single,yes,no
573,52,0,6,195,-1,technician,unknown,married,no,no
574,54,193,6,179,-1,services,unknown,married,no,no
576,53,288,6,69,-1,entrepreneur,unknown,married,no,no
578,53,25,6,266,-1,blue-collar,unknown,married,no,no
579,46,216,6,524,-1,services,unknown,married,no,no
580,39,190,6,96,-1,blue-collar,unknown,divorced,no,no
581,56,99,6,155,-1,technician,unknown,divorced,no,no
582,55,2298,6,162,-1,services,unknown,divorced,no,no
583,44,17,6,352,-1,management,unknown,married,no,no
584,37,0,6,76,-1,technician,unknown,married,no,no
585,35,0,6,154,-1,blue-collar,unknown,married,no,no
586,55,840,6,310,-1,blue-collar,unknown,married,no,no
587,37,358,6,390,-1,services,unknown,married,no,no
589,37,-325,6,112,-1,blue-collar,unknown,married,no,no
590,36,-15,6,341,-1,technician,unknown,single,no,no
591,38,581,6,79,-1,technician,unknown,married,no,no
592,41,4070,6,140,-1,admin.,unknown,divorced,no,no
594,55,141,6,262,-1,services,unknown,divorced,no,no
596,54,0,6,138,-1,services,unknown,married,yes,no
597,30,450,6,526,-1,blue-collar,unknown,married,no,no
598,48,310,6,135,-1,technician,unknown,married,no,no
599,31,0,6,36,-1,self-employed,unknown,married,no,no
600,38,384,6,1906,-1,blue-collar,unknown,married,no,no
602,37,-118,6,147,-1,services,unknown,single,no,no
603,56,5,6,407,-1,blue-collar,unknown,married,no,no
604,51,50,6,121,-1,blue-collar,unknown,married,no,no
605,39,285,6,209,-1,blue-collar,unknown,married,no,no
606,49,15,6,92,-1,technician,unknown,married,no,no
607,51,653,6,208,-1,blue-collar,unknown,married,no,no
608,43,918,6,193,-1,self-employed,unknown,married,no,no
609,32,243,6,144,-1,services,unknown,married,no,no
610,29,405,6,65,-1,technician,unknown,single,no,no
611,48,1328,6,339,-1,management,unknown,divorced,no,no
612,55,255,6,285,-1,services,unknown,married,no,no
613,53,3397,6,231,-1,blue-collar,unknown,married,no,no
614,47,2106,6,168,-1,technician,unknown,married,no,no
616,31,60,6,389,-1,blue-collar,unknown,single,no,no
617,39,2226,6,158,-1,blue-collar,unknown,married,no,no
